Date & Time,use [kW],gen [kW],Grid [kW],Solar [kW],Solar+ [kW]
1/6/15 21:00,60.56281556,0.005725833,60.54763361,0.005725833,0.015181944
1/6/15 22:00,57.75761583,0.004303056,57.74396944,0.004303056,0.013646389
1/6/15 23:00,52.47113306,0.000973056,52.46103167,0.000973056,0.010101389
1/7/15 0:00,52.1052575,0.000755,52.09541694,0.000755,0.009840556
1/7/15 1:00,49.30858306,0.006914167,49.29163306,0.006914167,0.01695
1/7/15 2:00,51.94188611,-0.000535833,51.9326075,-0.000535833,0.009278611
1/7/15 3:00,33.057415,-0.006259722,33.05146556,-0.006259722,0.005949444
1/7/15 4:00,34.62423361,-0.003760278,34.61616667,-0.003760278,0.008066944
1/7/15 5:00,43.85852167,-0.001626389,43.84833694,-0.001626389,0.010184722
1/7/15 6:00,60.91305,-0.000246667,60.90110111,-0.000246667,0.011948889
1/7/15 7:00,60.06782444,-0.000015556,60.05571833,-0.000015556,0.012106111
1/7/15 8:00,59.44184556,-0.025940833,59.41412083,-0.025940833,0.027724722
1/7/15 9:00,59.43106528,0.999958056,58.42911556,0.999958056,1.001949722
1/7/15 10:00,59.20406167,3.373402222,55.83065944,3.373402222,3.373402222
1/7/15 11:00,60.599315,9.113858889,51.48545611,9.113858889,9.113858889
1/7/15 12:00,59.28003333,18.11284833,41.167185,18.11284833,18.11284833
1/7/15 13:00,57.66645444,39.73836083,17.92809361,39.73836083,39.73836083
1/7/15 14:00,58.82604056,35.84732139,22.97871917,35.84732139,35.84732139
1/7/15 15:00,58.23586667,15.03966611,43.19620056,15.03966611,15.03966611
1/7/15 16:00,59.95776028,6.351984722,53.60577556,6.351984722,6.351984722
1/7/15 17:00,63.77912389,1.213750833,62.55502806,1.213750833,1.224095833
1/7/15 18:00,65.65077611,-0.030500278,65.63760389,-0.030500278,0.013172222
1/7/15 19:00,61.26993111,-0.000121111,61.256775,-0.000121111,0.013156111
1/7/15 20:00,61.25413611,0.001005278,61.23975389,0.001005278,0.014382222
1/7/15 21:00,58.28639028,0.000211944,58.27297056,0.000211944,0.013419722
1/7/15 22:00,56.41597167,0.003107222,56.39952944,0.003107222,0.016442222
1/7/15 23:00,52.07044472,-0.0029225,52.06051083,-0.0029225,0.009933889
1/8/15 0:00,50.74581056,-0.001685,50.73497,-0.001685,0.010840556
1/8/15 1:00,49.96592944,0.000360833,49.95468333,0.000360833,0.011246111
1/8/15 2:00,50.30824389,0.001137222,50.29704639,0.001137222,0.0111975
1/8/15 3:00,49.02906056,0.004211944,49.01468528,0.004211944,0.014375278
1/8/15 4:00,52.50572222,0.003012778,52.49249306,0.003012778,0.013229167
1/8/15 5:00,58.56454472,0.010025556,58.54419639,0.010025556,0.020348333
1/8/15 6:00,60.78994556,0.008163333,60.77238778,0.008163333,0.017557778
1/8/15 7:00,57.57138333,0.009221944,57.55234306,0.009221944,0.019040278
1/8/15 8:00,59.55972194,2.472489444,57.05527806,2.472489444,2.504443889
1/8/15 9:00,57.986625,24.71566889,33.27095611,24.71566889,24.71566889
1/8/15 10:00,55.80088583,44.02432583,11.77656,44.02432583,44.02432583
1/8/15 11:00,54.22952472,56.41377167,-2.184246944,56.41377167,56.41377167
1/8/15 12:00,58.28297722,64.29503611,-6.012058889,64.29503611,64.29503611
1/8/15 13:00,55.76263417,63.91137694,-8.148742778,63.91137694,63.91137694
1/8/15 14:00,56.09560444,57.58630333,-1.490698889,57.58630333,57.58630333
1/8/15 15:00,57.80948389,44.944375,12.86510889,44.944375,44.944375
1/8/15 16:00,58.86583611,23.42329528,35.44254083,23.42329528,23.42329528
1/8/15 17:00,60.00867833,2.71222,57.28371667,2.71222,2.724961667
1/8/15 18:00,60.23225472,-0.017131667,60.21203444,-0.017131667,0.020220278
1/8/15 19:00,59.56682556,0.008526389,59.54953417,0.008526389,0.017291389
1/8/15 20:00,58.84329417,0.008711944,58.82526972,0.008711944,0.018024444
1/8/15 21:00,57.31217,0.008886389,57.29312611,0.008886389,0.019043889
1/8/15 22:00,56.71550833,0.007873056,56.69699389,0.007873056,0.018514444
1/8/15 23:00,51.54871417,0.002751111,51.53610028,0.002751111,0.012613889
1/9/15 0:00,50.64184056,0.002221667,50.62956167,0.002221667,0.012278889
1/9/15 1:00,50.14266056,0.004241667,50.12785167,0.004241667,0.014808889
1/9/15 2:00,38.54774861,-0.000766667,38.53685417,-0.000766667,0.010894444
1/9/15 3:00,27.16689611,-0.005685556,27.16001806,-0.005685556,0.006878056
1/9/15 4:00,30.16341861,-0.002676111,30.15390583,-0.002676111,0.009512778
1/9/15 5:00,48.97054972,0.001222222,48.95688472,0.001222222,0.013665
1/9/15 6:00,62.06342111,0.004628333,62.04671028,0.004628333,0.016710833
1/9/15 7:00,61.02232,0.001200556,61.00907972,0.001200556,0.013240278
1/9/15 8:00,60.8873775,0.468391111,60.3878625,0.468391111,0.499515
1/9/15 9:00,60.01055028,3.330129444,56.68042083,3.330129444,3.330129444
1/9/15 10:00,59.89051833,9.605781667,50.28473667,9.605781667,9.605781667
1/9/15 11:00,58.83428611,13.30540889,45.52887722,13.30540889,13.30540889
1/9/15 12:00,59.40075778,14.95048472,44.45027306,14.95048472,14.95048472
1/9/15 13:00,60.40828611,14.19233389,46.21595222,14.19233389,14.19233389
1/9/15 14:00,57.28796833,11.26128722,46.02668111,11.26128722,11.26128722
1/9/15 15:00,57.40909194,6.843889167,50.56520278,6.843889167,6.843889167
1/9/15 16:00,59.65891694,3.433855,56.22506194,3.433855,3.433855
1/9/15 17:00,63.02795278,0.566159722,62.42053361,0.566159722,0.607419167
1/9/15 18:00,61.80522583,0.002333333,61.79144139,0.002333333,0.013784444
1/9/15 19:00,59.03245056,0.001526667,59.01840472,0.001526667,0.014045833
1/9/15 20:00,57.87298028,0.000770556,57.85955306,0.000770556,0.013427222
1/9/15 21:00,57.49218167,0.000705,57.47879778,0.000705,0.013383889
1/9/15 22:00,55.70485056,0.001880556,55.69042278,0.001880556,0.014427778
1/9/15 23:00,51.02074861,0.001176111,51.00705583,0.001176111,0.013692778
1/10/15 0:00,51.63724333,-0.000715278,51.62544861,-0.000715278,0.011794722
1/10/15 1:00,39.87471278,-0.000247778,39.86241972,-0.000247778,0.012293056
1/10/15 2:00,27.56074222,-0.007656944,27.55503722,-0.007656944,0.005705
1/10/15 3:00,31.08944389,-0.0019925,31.07868472,-0.0019925,0.010759167
1/10/15 4:00,30.80445917,0.003097778,30.78913417,0.003097778,0.015325
1/10/15 5:00,36.77214889,0.001528611,36.75796389,0.001528611,0.014185
